Stock A,Stock B,Correlation,Lag
DLF.NS,GRASIM.NS,-0.1833481152338649,20
DLF.NS,ULTRACEMCO.NS,-0.5230664463702834,20
DLF.NS,SHREECEM.NS,-0.5524070991568433,18
DLF.NS,AMBUJACEM.NS,0.6376034555175797,0
DLF.NS,SIEMENS.NS,0.20194183209902625,0
DLF.NS,ABB.NS,0.37134207374174744,0
DLF.NS,HAVELLS.NS,0.2950649273206126,0
DLF.NS,BHEL.NS,0.571813832686541,0
GRASIM.NS,ULTRACEMCO.NS,0.8261211709260607,0
GRASIM.NS,SHREECEM.NS,-0.2978744658174872,20
GRASIM.NS,AMBUJACEM.NS,0.43935778816836546,-20
GRASIM.NS,SIEMENS.NS,0.7490539861357073,0
GRASIM.NS,ABB.NS,0.7068975804512958,-14
GRASIM.NS,HAVELLS.NS,0.7570334990057868,-12
GRASIM.NS,BHEL.NS,0.49454909705878447,-17
ULTRACEMCO.NS,SHREECEM.NS,0.45785606905633036,0
ULTRACEMCO.NS,AMBUJACEM.NS,-0.3464580566486968,20
ULTRACEMCO.NS,SIEMENS.NS,0.715368626673446,-16
ULTRACEMCO.NS,ABB.NS,0.5917867722073583,-20
ULTRACEMCO.NS,HAVELLS.NS,0.5942269102458858,-15
ULTRACEMCO.NS,BHEL.NS,-0.31394858908178297,20
SHREECEM.NS,AMBUJACEM.NS,-0.23410673832888557,-20
SHREECEM.NS,SIEMENS.NS,0.12191037975166166,-10
SHREECEM.NS,ABB.NS,-0.039432690926074765,14
SHREECEM.NS,HAVELLS.NS,-0.18010411010487776,-20
SHREECEM.NS,BHEL.NS,0.18871933215712725,20
AMBUJACEM.NS,SIEMENS.NS,0.4106080274702717,20
AMBUJACEM.NS,ABB.NS,0.6378843976606402,20
AMBUJACEM.NS,HAVELLS.NS,0.627449005111342,19
AMBUJACEM.NS,BHEL.NS,0.8946617100362388,0
SIEMENS.NS,ABB.NS,0.9114397881882053,0
SIEMENS.NS,HAVELLS.NS,0.7771382871283321,0
SIEMENS.NS,BHEL.NS,0.5743660226685853,-1
ABB.NS,HAVELLS.NS,0.8623814840191508,0
ABB.NS,BHEL.NS,0.7749095674246038,0
HAVELLS.NS,BHEL.NS,0.7529559087428188,-17
