Stock A,Stock B,Correlation,Lag,Category
ASIANPAINT.NS,TATAMOTORS.NS,0.9760465209468585,-20,Positive
BHARTIARTL.NS,DIVISLAB.NS,0.9756552764449639,20,Positive
UNITDSPR.NS,PNB.NS,-0.9748310142974517,20,Negative
UNITDSPR.NS,TORNTPHARM.NS,0.9742237465001877,-1,Positive
ADANIGREEN.NS,IOC.NS,0.9740503229636397,-13,Positive
ITC.NS,ICICIPRULI.NS,0.9708532692589238,1,Positive
NAUKRI.NS,UNITDSPR.NS,0.9708076380024896,0,Positive
ADANIENT.NS,ADANIGREEN.NS,0.9699725426553065,-1,Positive
TECHM.NS,DIVISLAB.NS,0.9689505145118162,-7,Positive
NAUKRI.NS,ICICIBANK.NS,0.9685939883936949,-4,Positive
BAJAJHLDNG.NS,TECHM.NS,0.9683313107054397,-11,Positive
COALINDIA.NS,ADANIPORTS.NS,0.9671858023497514,0,Positive
HDFCBANK.NS,ICICIBANK.NS,0.9656869075696591,3,Positive
TATAMOTORS.NS,IOC.NS,0.965678669356545,2,Positive
ZOMATO.NS,UNITDSPR.NS,0.965599758353092,6,Positive
ZOMATO.NS,NAUKRI.NS,0.9655779376766576,5,Positive
UNITDSPR.NS,UNIONBANK.NS,-0.9653062629884126,15,Negative
SUNPHARMA.NS,INFY.NS,0.9647074578642861,-11,Positive
NAUKRI.NS,DIVISLAB.NS,0.9640739849780886,9,Positive
INDUSINDBK.NS,ADANIGREEN.NS,0.9639534205470748,13,Positive
